SLA Type,KPI Name,Pre State,After State,Đối tượng,SLA,Loại KPI,Tỷ lệ,Tính theo đơn hàng,Tình trung bình theo đối tượng,Column 11,,,,,,,II. SLA vận hành đơn cứu hộ (Dispatch SLA),,
Dispatch SLA,Tổng đài xác nhận đơn,WAITING_CONFIRM,CONFIRMED,CSKH,=<60,,,,,,,,,,,,Áp dụng cho giai đoạn từ khi tạo đơn → driver nhận ca,,
Dispatch SLA,Điều phối Provider,CONFIRMED,WAITING_PROVIDER_ACCEPT,OSA,=<480,Điều phối thành công lần 1 thành công,Thành công 85%,,,,,,,,,,Bước,STATE,SLA
,,,,OSA,,Điều phối thành công,Thành công 95%,,,,,,,,,,Tổng đài xác nhận đơn,WAITING_CONFIRM → CONFIRMED,≤ 60s
Dispatch SLA,Provider phản hồi,WAITING_PROVIDER_ACCEPT,WAITING_PROVIDER_ACCEPT,PROVIDER,=<180,Thời gian Provider báo giá,,,,,,,,,,,Điều phối provider,CONFIRMED → WAITING_PROVIDER_ACCEPT,≤ 3 phút
Dispatch SLA,Tài xế nhận đơn đúng SLA,WAITING_DRIVER_ACCEPT,DRIVER_ON_THE_WAY,DRIVER,=<300,Thời gian tài xế nhận đơn,Thành công 95%,,,,,,,,,,Provider phản hồi,WAITING_PROVIDER_ACCEPT,≤ 3 phút
Execution SLA,Tài xế tới tới hiện trường (PA1),DRIVER_ON_THE_WAY,RESCUE_IN_PROGRESS,DRIVER,=<1800,,Thành công 90%,,,,,,,,,,Driver accept,WAITING_DRIVER_ACCEPT,≤ 2 phút
Execution SLA,Tài xế tới tới hiện trường (PA2),DRIVER_ON_THE_WAY,RESCUE_IN_PROGRESS,DRIVER,=<2400,,Thành công 90%,,,,,,,,,,,,
Execution SLA,Tài xế tới tới hiện trường (PA3),DRIVER_ON_THE_WAY,RESCUE_IN_PROGRESS,DRIVER,=<3600,,Thành công 90%,,,,,,,,,,KPI vận hành,,
Execution SLA,Xử lý hiện trường (1),RESCUE_IN_PROGRESS,RESCUE_COMPLETED_BY_DRIVER,DRIVER,=<1800,Mức nguy hiểm = 1,Thành công 80%,,,,,,,,,,Tỷ lệ dispatch thành công lần đầu ≥ 85%,,
Execution SLA,Xử lý hiện trường (1),RESCUE_IN_PROGRESS,RESCUE_MOVE_TO_TOWING_POINT,DRIVER,=<1800,Mức nguy hiểm = 1,Thành công 80%,,,,,,,,,,Tỉ lệ điều phối tự động ≥ 95%,,
Execution SLA,Xử lý hiện trường (2),RESCUE_IN_PROGRESS,RESCUE_COMPLETED_BY_DRIVER,DRIVER,=<2400,Mức nguy hiểm = 2,Thành công 80%,,,,,,,,,,Tỷ lệ dispatch thành công lần đầu ≥ 85%,,
Execution SLA,Xử lý hiện trường (2),RESCUE_IN_PROGRESS,RESCUE_MOVE_TO_TOWING_POINT,DRIVER,=<2400,Mức nguy hiểm = 2,Thành công 80%,,,,,,,,,,Tỉ lệ điều phối tự động ≥ 95%,,
Execution SLA,Xử lý hiện trường (3),RESCUE_IN_PROGRESS,RESCUE_COMPLETED_BY_DRIVER,DRIVER,=<3600,Mức nguy hiểm = 3,Thành công 80%,,,,,,,,,,Tỷ lệ dispatch thành công lần đầu ≥ 85%,,
Execution SLA,Xử lý hiện trường (3),RESCUE_IN_PROGRESS,RESCUE_MOVE_TO_TOWING_POINT,DRIVER,=<3600,Mức nguy hiểm = 3,Thành công 80%,,,,,,,,,,Tỉ lệ điều phối tự động ≥ 95%,,
Execution SLA,Kéo xe tới điểm =< 10km,RESCUE_MOVE_TO_TOWING_POINT,RESCUE_COMPLETED_BY_DRIVER,DRIVER,=<1800,,Thành công 80%,,,,,,,,,,III. SLA ETA tới hiện trường,,
Execution SLA,Kéo xe tới điểm =< 30km,RESCUE_MOVE_TO_TOWING_POINT,RESCUE_COMPLETED_BY_DRIVER,DRIVER,=<3600,,Thành công 80%,,,,,,,,,,Áp dụng cho trạng thái:,WAITING_DRIVER_ACCEPT → DRIVER_ON_THE_WAY,
Execution SLA,Kéo xe tới điểm > 30km,RESCUE_MOVE_TO_TOWING_POINT,RESCUE_COMPLETED_BY_DRIVER,DRIVER,Không tính,,Thành công 80%,,,,,,,,,,Mục tiêu SLA,,
Execution SLA,Xác nhận hoàn thành,RESCUE_COMPLETED_BY_DRIVER,COMPLETED/COMPLETED_BY_OSA,OSA,=<300,,Thành công 98%,,,,,,,,,,,,
Execution SLA,SLA Tổng thể (Hỗ trợ tại chỗ),DRAFT/WAITING_CONFIRM,COMPLETED/COMPLETED_BY_OSA,OSA,=<3600,,,,,,,,,,,,Nội đô (PA1),≤ 30 phút,
Execution SLA,SLA Tổng thể (Kéo xe),DRAFT/WAITING_CONFIRM,COMPLETED/COMPLETED_BY_OSA,OSA,=<7200,,,,,,,,,,,,Cao tốc (PA2),≤ 45 phút,
